,id,book_id,work_id,authors,original_publication_year,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
0,1,2767052,2792775,Suzanne Collins,2008.0,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317
1,2,3,4640799,"J.K. Rowling, Mary GrandPré",1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543
2,3,41865,3212258,Stephenie Meyer,2005.0,"Twilight (Twilight, #1)",en-US,3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439
3,4,2657,3275794,Harper Lee,1960.0,To Kill a Mockingbird,eng,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267
4,5,4671,245494,F. Scott Fitzgerald,1925.0,The Great Gatsby,eng,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718
5,6,11870085,16827462,John Green,2012.0,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871
6,7,5907,1540236,J.R.R. Tolkien,1937.0,The Hobbit,en-US,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718
7,8,5107,3036731,J.D. Salinger,1951.0,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176
8,9,960,3338963,Dan Brown,2000.0,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,2078754,25112,77841,145740,458429,716569,680175
9,10,1885,3060926,Jane Austen,1813.0,Pride and Prejudice,eng,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673
10,11,77203,3295919,Khaled Hosseini,2003.0,The Kite Runner,eng,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591
11,12,13335037,13155899,Veronica Roth,2011.0,"Divergent (Divergent, #1)",eng,4.24,1903563,2216814,101023,36315,82870,310297,673028,1114304
12,13,5470,153313,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984,eng,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229
13,14,7613,2207778,George Orwell,1945.0,Animal Farm,eng,3.87,1881700,1982987,35472,66854,135147,433432,698642,648912
14,15,48855,3532896,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,eng,4.1,1972666,2024493,20825,45225,91270,355756,656870,875372
15,16,2429135,1708725,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,1808403,1929834,62543,54835,86051,285413,667485,836050
16,17,6148028,6171458,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",eng,4.3,1831039,1988079,88538,10492,48030,262010,687238,980309
17,18,5,2402163,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670
18,19,34,3204327,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394
19,20,7260188,8812783,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",eng,4.03,1719760,1870748,96274,30144,110498,373060,618271,738775
20,21,2,2809203,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806
21,22,12232938,1145090,Alice Sebold,2002.0,The Lovely Bones,eng,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323
22,23,15881,6231171,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084
23,24,6,3046572,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045
24,25,136251,2963218,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227
25,26,968,2982101,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387
26,27,1,41335427,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491
27,28,7624,2766512,William Golding,1954.0,Lord of the Flies,eng,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846
28,29,18135,3349450,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235
29,30,8442457,13306276,Gillian Flynn,2012.0,Gone Girl,eng,4.03,512475,1626519,121614,38874,80807,280331,616031,610476
30,31,4667024,4717423,Kathryn Stockett,2009.0,The Help,eng,4.45,1531753,1603545,78204,10235,25117,134887,490754,942552
31,32,890,40283,John Steinbeck,1937.0,Of Mice and Men,eng,3.84,1467496,1518741,24642,46630,110856,355169,532291,473795
32,33,930,1558965,Arthur Golden,1997.0,Memoirs of a Geisha,eng,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782
33,34,10818853,15732562,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,75437,165455,152293,252185,294976,571909
34,35,865,4835472,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,eng,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212
35,36,3636,2543234,Lois Lowry,1993.0,"The Giver (The Giver, #1)",eng,4.12,1296825,1345445,54084,26497,59652,225326,448691,585279
36,37,100915,4790821,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,1584884,15186,19309,55542,262038,513366,734629
37,38,14050,2153746,Audrey Niffenegger,2003.0,The Time Traveler's Wife,eng,3.95,746287,1308667,43382,44339,85429,257805,427210,493884
38,39,13496,1466917,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,1442220,46205,19988,28983,114092,404583,874574
39,40,19501,3352398,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",eng,3.51,1181647,1206597,49714,100373,149549,310212,332191,314272
40,41,28187,3346751,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,1411114,46006,18303,48294,219638,435514,689365
41,42,1934,3244642,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",en-US,4.04,1257121,1314293,17090,31645,70011,250794,426280,535563
42,43,10210,2977639,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,eng,4.1,1198557,1286135,31212,35132,64274,212294,400214,574221
43,44,15931,1498135,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",eng,4.06,1053403,1076749,17279,41395,63432,176469,298259,497194
44,45,4214,1392700,Yann Martel,2001.0,Life of Pi,eng,3.88,1003228,1077431,42962,39768,74331,218702,384164,360466
45,46,43641,3441236,Sara Gruen,2006.0,Water for Elephants,eng,4.07,1068146,1108839,55732,16705,49832,200154,417328,424820
46,47,19063,878368,Markus Zusak,2005.0,The Book Thief,eng,4.36,1159741,1287798,93611,17892,35360,135272,377218,722056
47,48,4381,1272463,Ray Bradbury,1953.0,Fahrenheit 451,spa,3.97,570498,1176240,30694,28366,64289,238242,426292,419051
48,49,49041,3203964,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",eng,3.52,1149630,1199000,44020,102837,160660,294207,290612,350684
49,50,30119,30518,Shel Silverstein,1974.0,Where the Sidewalk Ends,eng,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153
50,51,256683,2267189,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,1241799,51589,34122,65349,203466,356048,582814
51,52,428263,2675454,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",en-US,3.69,1134511,1176642,35216,83094,124293,260763,309358,399134
